参数名(PARAMCONVERT),多选(MultiMode)
dwFileAttributes,1
0x00000001,FILE_ATTRIBUTE_READONLY
0x00000002,FILE_ATTRIBUTE_HIDDEN
0x00000004,FILE_ATTRIBUTE_SYSTEM
0x00000010,FILE_ATTRIBUTE_DIRECTORY
0x00000020,FILE_ATTRIBUTE_ARCHIVE
0x00000040,FILE_ATTRIBUTE_DEVICE
0x00000080,FILE_ATTRIBUTE_NORMAL
0x00000100,FILE_ATTRIBUTE_TEMPORARY
0x00000200,FILE_ATTRIBUTE_SPARSE_FILE
0x00000400,FILE_ATTRIBUTE_REPARSE_POINT
0x00000800,FILE_ATTRIBUTE_COMPRESSED
0x00001000,FILE_ATTRIBUTE_OFFLINE
0x00002000,FILE_ATTRIBUTE_NOT_CONTENT_INDEXED
0x00004000,FILE_ATTRIBUTE_ENCRYPTED
hKey,0
0x80000000,HKEY_CLASSES_ROOT
0x80000001,HKEY_CURRENT_USER
0x80000002,HKEY_LOCAL_MACHINE
0x80000003,HKEY_USERS
0x80000004,HKEY_PERFORMANCE_DATA
0x80000050,HKEY_PERFORMANCE_TEXT
0x80000060,HKEY_PERFORMANCE_NLSTEXT
0x80000005,HKEY_CURRENT_CONFIG
0x80000006,HKEY_DYN_DATA
0x80000007,HKEY_CURRENT_USER_LOCAL_SETTINGS
dwControlService,0
0x00000001,SERVICE_CONTROL_STOP
0x00000002,SERVICE_CONTROL_PAUSE
0x00000003,SERVICE_CONTROL_CONTINUE
0x00000004,SERVICE_CONTROL_INTERROGATE
0x00000006,SERVICE_CONTROL_PARAMCHANGE
0x00000007,SERVICE_CONTROL_NETBINDADD
0x00000008,SERVICE_CONTROL_NETBINDREMOVE
0x00000009,SERVICE_CONTROL_NETBINDENABLE
0x0000000A,SERVICE_CONTROL_NETBINDDISABLE
socket_AF,0
0x00000000,AF_UNSPEC
0x00000002,AF_INET
0x00000011,AF_NETBIOS
0x00000017,AF_INET6
0x0000001A,AF_IRDA
0x00000020,AF_BTM
socket_TYPE,0
0x00000001,SOCK_STREAM
0x00000002,SOCK_DGRAM
0x00000003,SOCK_RAW
0x00000004,SOCK_RDM
0x00000005,SOCK_SEQPACKET
dwURLretVal,0
0x00000000,S_OK
0x8007000E,E_OUTOFMEMORY
socket_PROTOCOL,0
0x00000000,IPPROTO_NOT_SPECIFY
0x00000006,IPPROTO_TCP
0x00000011,IPPROTO_UDP
0x00000071,IPPROTO_RM
dwNetFlag,1
0x00000001,INTERNET_CONNECTION_MODEM
0x00000002,INTERNET_CONNECTION_LAN
0x00000004,INTERNET_CONNECTION_PROXY
0x00000008,INTERNET_CONNECTION_MODEM_BUSY
0x00000010,INTERNET_RAS_INSTALLED
0x00000020,INTERNET_CONNECTION_OFFLINE
0x00000040,INTERNET_CONNECTION_CONFIGURED
dwServiceType,1
0x00000001,SERVICE_KERNEL_DRIVER
0x00000002,SERVICE_FILE_SYSTEM_DRIVER
0x00000004,SERVICE_ADAPTER
0x00000008,SERVICE_RECOGNIZER_DRIVER
0x00000010,SERVICE_WIN32_OWN_PROCESS
0x00000020,SERVICE_WIN32_SHARE_PROCESS
0x00000100,SERVICE_INTERACTIVE_PROCESS
dwCreationDisposition,0
0x00000001,CREATE_NEW
0x00000002,CREATE_ALWAYS
0x00000003,OPEN_EXISTING
0x00000004,OPEN_ALWAYS
0x00000005,TRUNCATE_EXISTING
EXECUTION_STATE,0
0x80000000,ES_CONTINUOUS
0x00000002,ES_DISPLAY_REQUIRED
0x00000001,ES_SYSTEM_REQUIRED
RegValueType,0
0x00000000,REG_NONE
0x00000001,REG_SZ
0x00000002,REG_EXPAND_SZ
0x00000003,REG_BINARY
0x00000004,REG_DWORD
0x00000005,REG_DWORD_BIG_ENDIAN
0x00000006,REG_LINK
0x00000007,REG_MULTI_SZ
0x00000008,REG_RESOURCE_LIST
0x00000009,REG_FULL_RESOURCE_DESCRIPTOR
0x00000010,REG_RESOURCE_REQUIREMENTS_LIST
0x00000011,REG_QWORD
idHook,0
0x00000000,WH_JOURNALRECORD
0x00000001,WH_JOURNALPLAYBACK
0x00000002,WH_KEYBOARD
0x00000003,WH_GETMESSAGE
0x00000004,WH_CALLWNDPROC
0x00000005,WH_CBT
0x00000006,WH_SYSMSGFILTER
0x00000007,WH_MOUSE
0x00000008,WH_HARDWARE
0x00000009,WH_DEBUG
0x0000000a,WH_SHELL
0x0000000b,WH_FOREGROUNDIDLE
0x0000000c,WH_CALLWNDPROCRET
0x0000000d,WH_KEYBOARD_LL
0x0000000e,WH_MOUSE_LL
0xffffffff,WH_MSGFILTER
dwCreateFlag,1
0x00000001,DEBUG_PROCESS
0x00000002,DEBUG_ONLY_THIS_PROCESS
0x00000004,CREATE_SUSPENDED
0x00000008,DETACHED_PROCESS
0x00000010,CREATE_NEW_CONSOLE
0x00000020,NORMAL_PRIORITY_CLASS
0x00000040,IDLE_PRIORITY_CLASS
0x00000080,HIGH_PRIORITY_CLASS
0x00000100,REALTIME_PRIORITY_CLASS
0x00000200,CREATE_NEW_PROCESS_GROUP
0x00000400,CREATE_UNICODE_ENVIRONMENT
0x00000800,CREATE_SEPARATE_WOW_VDM
0x00001000,CREATE_SHARED_WOW_VDM
0x00002000,CREATE_FORCEDOS
0x00004000,BELOW_NORMAL_PRIORITY_CLASS
0x00008000,ABOVE_NORMAL_PRIORITY_CLASS
0x00010000,INHERIT_PARENT_AFFINITY
0x00020000,INHERIT_CALLER_PRIORITY
0x00040000,CREATE_PROTECTED_PROCESS
0x00080000,EXTENDED_STARTUPINFO_PRESENT
0x00100000,PROCESS_MODE_BACKGROUND_BEGIN
0x00200000,PROCESS_MODE_BACKGROUND_END
0x01000000,CREATE_BREAKAWAY_FROM_JOB
0x02000000,CREATE_PRESERVE_CODE_AUTHZ_LEVEL
0x04000000,CREATE_DEFAULT_ERROR_MODE
0x08000000,CREATE_NO_WINDOW
nCmdShow,0
0x00000000,SW_HIDE
0x00000001,SW_SHOWNORMAL
0x00000002,SW_SHOWMINIMIZED
0x00000003,SW_SHOWMAXIMIZED
0x00000004,SW_SHOWNOACTIVATE
0x00000005,SW_SHOW
0x00000006,SW_MINIMIZE
0x00000007,SW_SHOWMINNOACTIVE
0x00000008,SW_SHOWNA
0x00000009,SW_RESTORE
0x0000000a,SW_SHOWDEFAULT
0x0000000b,SW_FORCEMINIMIZE
dwFlags,1
0x00000001,TH32CS_SNAPHEAPLIST
0x00000002,TH32CS_SNAPPROCESS
0x00000004,TH32CS_SNAPTHREAD
0x00000008,TH32CS_SNAPMODULE
0x00000010,TH32CS_SNAPMODULE32
0x00000000,TH32CS_INHERIT
dwShutType,1
0x00000000,EWX_LOGOFF
0x00000001,EWX_SHUTDOWN
0x00000002,EWX_REBOOT
0x00000004,EWX_FORCE
0x00000008,EWX_POWEROFF
0x00000010,EWX_FORCEIFHUNG
0x00000040,EWX_RESTARTAPPS
Protecttype,0
0x00000001,PAGE_NOACCESS
0x00000002,PAGE_READONLY
0x00000004,PAGE_READWRITE
0x00000008,PAGE_WRITECOPY
0x00000010,PAGE_EXECUTE
0x00000020,PAGE_EXECUTE_READ
0x00000040,PAGE_EXECUTE_READWRITE
0x00000080,PAGE_EXECUTE_WRITECOPY
0x00000100,PAGE_GUARD
0x00000200,PAGE_NOCACHE
0x00000400,PAGE_WRITECOMBINE
dwStartType,0
0x00000000,SERVICE_BOOT_START
0x00000001,SERVICE_SYSTEM_START
0x00000002,SERVICE_AUTO_START
0x00000003,SERVICE_DEMAND_START
0x00000004,SERVICE_DISABLED
defHandle,0
0xffffffff,Self
BOOL,0
0x00000000,FALSE
0x00000001,TRUE
retval,0
0xffffffff,Failed
retValue,0
0x00000000,Failed
retValueBOOL,0
0x00000000,Failed
0x00000001,Success
dwFileType,0
0x00000000,FILE_TYPE_UNKNOWN
0x00000001,FILE_TYPE_DISK
0x00000002,FILE_TYPE_CHAR
0x00000003,FILE_TYPE_PIPE
0x00008000,FILE_TYPE_REMOTE
stdHandle,0
0xfffffff4,STD_ERROR_HANDLE
0xfffffff5,STD_OUTPUT_HANDLE
0xfffffff6,STD_INPUT_HANDLE
errorMode,1 
0x00000000,DEFAULT
0x00000001,SEM_FAILCRITICALERRORS
0x00000002,SEM_NOGPFAULTERRORBOX
0x00000004,SEM_NOALIGNMENTFAULTEXCEPT
0x00008000,SEM_NOOPENFILEERRORBOX
dwPriorityClass,0
0x00000020,NORMAL_PRIORITY_CLASS
0x00000040,IDLE_PRIORITY_CLASS
0x00000080,HIGH_PRIORITY_CLASS
0x00004000,BELOW_NORMAL_PRIORITY_CLASS
0x00008000,ABOVE_NORMAL_PRIORITY_CLASS
0x00000100,REALTIME_PRIORITY_CLASS
0x00100000,PROCESS_MODE_BACKGROUND_BEGIN
0x00200000,PROCESS_MODE_BACKGROUND_END
uStyle,1
0x00000000,OF_READ
0x00000001,OF_WRITE
0x00000002,OF_READWRITE
0x00000010,OF_SHARE_EXCLUSIVE
0x00000020,OF_SHARE_DENY_WRITE
0x00000030,OF_SHARE_DENY_READ
0x00000040,OF_SHARE_DENY_NONE
0x00000100,OF_PARSE
0x00000200,OF_DELETE
0x00000400,OF_VERIFY
0x00000800,OF_CANCEL
0x00001000,OF_CREATE
0x00002000,OF_PROMPT
0x00004000,OF_EXIST
0x00008000,OF_REOPEN
dwWINAPI,0
0x00000000,WAIT_OBJECT_0
0x00000080,WAIT_ABANDONED
0x000000c0,WAIT_IO_COMPLETION
0x00000102,WAIT_TIMEOUT